sale_id,sale_date,sales_rep,region,product,deal_stage,lead_source,deal_value,quantity,discount_percent,days_to_close,customer_size,is_new_customer,satisfaction_score,final_value
1849,2024-02-29,Frank Miller,East,Software License,Pending,Email Campaign,30670.54,1,25,26,Small,False,4.0,23002.9
1678,2024-02-29,Ivy Anderson,East,Consulting Hours,Won,Cold Call,37712.65,13,0,17,Small,True,3.4,37712.65
1649,2024-02-29,Bob Smith,West,Training Package,Won,Cold Call,32862.44,2,10,57,Medium,False,2.2,29576.2
1756,2024-02-29,Frank Miller,South,Premium Subscription,Won,Cold Call,37173.03,9,25,34,Small,True,1.1,27879.77
1992,2024-02-29,Jack Thompson,East,Support Plan,Won,Trade Show,24435.72,6,0,2,Small,False,4.6,24435.72
1447,2024-02-29,Emma Davis,North,Support Plan,Won,Referral,20164.94,11,5,42,Small,False,4.2,19156.69
1207,2024-03-01,Carol Williams,South,Training Package,Pending,Website,15739.77,4,5,65,Medium,True,3.2,14952.78
1264,2024-03-01,Emma Davis,West,Consulting Hours,Lost,Social Media,42359.85,16,10,57,Medium,False,4.3,38123.86
1064,2024-03-01,Henry Taylor,South,Premium Subscription,Pending,Email Campaign,32283.28,2,10,61,Small,False,4.2,29054.95
1896,2024-03-02,Bob Smith,North,Premium Subscription,Won,Website,37560.57,14,5,17,Enterprise,True,4.5,35682.54
1949,2024-03-03,Jack Thompson,Central,Software License,Pending,Email Campaign,27742.39,13,10,89,Medium,True,1.8,24968.15
1497,2024-03-03,Jack Thompson,East,API Access,Won,Website,22574.8,16,25,49,Large,False,4.8,16931.1
1326,2024-03-03,Emma Davis,North,Training Package,Lost,Social Media,27110.44,9,5,67,Small,False,3.7,25754.92
1969,2024-03-03,Ivy Anderson,West,Cloud Storage,Pending,Social Media,25947.06,5,0,46,Enterprise,False,1.1,25947.06
1614,2024-03-04,Carol Williams,Central,API Access,Lost,Trade Show,42684.51,12,5,61,Enterprise,False,2.1,40550.28
1416,2024-03-04,Jack Thompson,North,Consulting Hours,Lost,Email Campaign,27820.85,9,25,86,Enterprise,False,4.5,20865.64
1721,2024-03-04,Frank Miller,East,Support Plan,Lost,Referral,19415.58,1,15,61,Enterprise,True,3.0,16503.24
1129,2024-03-04,Henry Taylor,North,API Access,Won,Social Media,44371.27,1,20,18,Large,False,4.7,35497.02
1843,2024-03-04,Grace Wilson,East,Software License,Won,Website,21013.22,8,25,68,Enterprise,True,2.7,15759.92
1965,2024-03-05,Frank Miller,West,Cloud Storage,Won,Referral,47451.76,16,20,39,Small,True,1.0,37961.41
1742,2024-03-05,Frank Miller,North,Software License,Won,Email Campaign,12161.62,3,0,80,Small,True,3.3,12161.62
1335,2024-03-05,Emma Davis,Central,Hardware Bundle,Won,Trade Show,37001.79,16,15,18,Large,True,3.6,31451.52
1935,2024-03-05,Grace Wilson,Central,Cloud Storage,Pending,Email Campaign,35494.34,8,0,78,Large,True,3.6,35494.34
1895,2024-03-06,Bob Smith,South,Premium Subscription,Won,Cold Call,34572.75,18,0,27,Small,False,4.6,34572.75
1606,2024-03-06,Grace Wilson,Central,Premium Subscription,Lost,Email Campaign,3951.11,1,5,13,Medium,True,1.0,3753.55
